noise, 20, 30.9, 0.024609
noise, 20, 42.9, 0.024609
noise, 20, 44.1, 0.024609
noise, 20, 50.85, 0.0375
noise, 20, 5.7, 0.024609
square, 67, 37.2, 0.15
noise, 20, 12.6, 0.075
tri, 55, 68.7, 0.15
tri, 60, 18.75, 0.15
tri, 58, 19.95, 0.15
noise, 20, 13.2, 0.0375
tri, 60, 48.199, 0.098437
tri, 53, 57.3, 0.15
noise, 20, 41.299, 0.024609
noise, 20, 17.299, 0.024609
noise, 20, 52.05, 0.0375
noise, 20, 75.3, 0.075
square, 76, 27.45, 0.15
noise, 20, 78.45, 0.0375
tri, 54, 42.75, 0.15
square, 67, 62.4, 0.098437
noise, 20, 19.2, 0.0375
noise, 20, 63, 0.075
tri, 48, 21.6, 0.15
noise, 20, 22.5, 0.024609
square, 64, 13.35, 0.15
tri, 60, 10.95, 0.15
square, 72, 70.95, 0.15
tri, 54, 9.15, 0.15
square, 60, 33, 0.15
square, 68, 22.95, 0.15
noise, 20, 53.25, 0.0375
square, 70, 36.9, 0.15
tri, 48, 19.2, 0.15
tri, 50, 39.3, 0.15
tri, 60, 15.45, 0.15
square, 69, 54.45, 0.15
noise, 20, 29.4, 0.075
square, 74, 15, 0.15
tri, 55, 12.45, 0.15
square, 76, 0, 0.15
square, 67, 7.65, 0.15
noise, 20, 55.65, 0.0375
noise, 20, 43.2, 0.0375
square, 60, 46.95, 0.15
noise, 20, 25.699, 0.024609
square, 72, 28.5, 0.15
noise, 20, 28.099, 0.024609
square, 68, 29.1, 0.15
square, 69, 57, 0.15
noise, 20, 9.4992, 0.024609
square, 65, 57, 0.15
square, 72, 20.4, 0.15
square, 74, 12.6, 0.15
noise, 20, 21.6, 0.0375
tri, 59, 49.8, 0.15
square, 55, 3.3, 0.15
square, 66, 0.9, 0.15
square, 70, 81.199, 0.19922
noise, 20, 53.4, 0.075
square, 68, 34.35, 0.15
noise, 20, 1.95, 0.0375
tri, 60, 6.15, 0.15
square, 72, 33.75, 0.15
noise, 20, 71.55, 0.075
tri, 55, 21, 0.15
noise, 20, 40.35, 0.0375
tri, 55, 22.05, 0.15
noise, 20, 68.85, 0.0375
square, 68, 56.1, 0.15
noise, 20, 24, 0.0375
square, 65, 18.3, 0.15
square, 65, 13.5, 0.15
noise, 20, 47.7, 0.024609
noise, 20, 60.9, 0.0375
square, 64, 81.6, 0.15
tri, 53, 80.4, 0.6
square, 65, 61.8, 0.15
noise, 20, 39.3, 0.0375
tri, 53, 51.9, 0.15
square, 71, 4.05, 0.15
tri, 55, 51, 0.15
tri, 55, 24.9, 0.15
tri, 48, 28.8, 0.15
noise, 20, 23.1, 0.024609
square, 65, 61.2, 0.15
noise, 20, 28.8, 0.0375
tri, 55, 47.25, 0.15
square, 62, 81.75, 0.15
square, 64, 22.95, 0.15
square, 66, 39.3, 0.15
noise, 20, 64.05, 0.0375
square, 76, 73.05, 0.15
square, 64, 40.8, 0.15
square, 64, 41.7, 0.15
square, 72, 2.4, 0.15
tri, 60, 54.6, 0.15
tri, 53, 4.5, 0.15
noise, 20, 15.9, 0.024609
square, 74, 6.6, 0.15
noise, 20, 57.3, 0.0375
square, 64, 75.75, 0.15
square, 64, 59.25, 0.15
square, 65, 81, 0.6
square, 75, 14.85, 0.15
noise, 20, 1.2, 0.075
noise, 20, 51, 0.075
noise, 20, 69.6, 0.075
square, 77, 51.75, 0.15
tri, 60, 60.9, 0.15
square, 84, 15.75, 0.13125
tri, 55, 70.8, 0.15
square, 60, 43.2, 0.098437
square, 76, 63.199, 0.098437
tri, 48, 32.85, 0.15
tri, 62, 44.1, 0.15
square, 66, 76.95, 0.15
square, 77, 63, 0.098437
square, 71, 62.4, 0.098437
noise, 20, 9.3, 0.024609
square, 76, 13.05, 0.15
tri, 48, 50.4, 0.15
noise, 20, 21.499, 0.024609
square, 68, 70.35, 0.15
tri, 52, 48, 0.098437
tri, 44, 74.4, 0.15
noise, 20, 14.1, 0.024609
noise, 20, 5.8992, 0.024609
square, 68, 65.7, 0.15
noise, 20, 3.3, 0.024609
tri, 52, 79.65, 0.15
tri, 50, 38.55, 0.15
square, 65, 19.95, 0.15
tri, 60, 57.15, 0.15
square, 77, 61.65, 0.15
square, 67, 40.2, 0.15
square, 72, 31.35, 0.15
tri, 41, 80.4, 0.6
square, 69, 47.7, 0.15
noise, 20, 49.2, 0.0375
square, 68, 18.15, 0.15
tri, 53, 61.2, 0.15
tri, 53, 23.7, 0.15
noise, 20, 42, 0.0375
noise, 20, 76.65, 0.075
tri, 54, 47.55, 0.15
square, 72, 51.75, 0.15
noise, 20, 66.6, 0.075
noise, 20, 20.1, 0.024609
square, 66, 0, 0.15
square, 66, 38.85, 0.15
tri, 53, 47.7, 0.15
square, 67, 1.8, 0.15
noise, 20, 50.1, 0.024609
tri, 60, 27.3, 0.15
square, 66, 77.7, 0.15
square, 69, 44.55, 0.15
square, 69, 66.6, 0.15
square, 69, 54.15, 0.15
square, 77, 62.798, 0.10078
square, 76, 43.399, 0.098437
noise, 20, 70.05, 0.075
square, 72, 75.75, 0.15
square, 61, 42.75, 0.15
noise, 20, 43.5, 0.024609
noise, 20, 42.499, 0.024609
tri, 48, 69, 0.15
tri, 50, 77.25, 0.15
square, 75, 22.35, 0.15
square, 72, 64.8, 0.15
square, 71, 47.25, 0.15
square, 78, 26.85, 0.15
tri, 53, 18, 0.15
noise, 20, 0, 0.0375
square, 64, 55.65, 0.15
noise, 20, 22.699, 0.024609
tri, 62, 5.7, 0.15
noise, 20, 16.099, 0.024609
square, 72, 60, 0.15
tri, 77, 25.8, 0.15
square, 68, 75.15, 0.15
tri, 60, 51.3, 0.15
tri, 53, 22.8, 0.15
square, 64, 60.45, 0.15
square, 67, 57.6, 0.15
square, 69, 66, 0.15
noise, 20, 29.299, 0.024609
noise, 20, 25.2, 0.0375
square, 72, 61.35, 0.15
noise, 20, 7.6992, 0.024609
square, 79, 25.35, 0.13125
tri, 50, 77.55, 0.15
square, 77, 5.7, 0.15
tri, 50, 77.7, 0.15
noise, 20, 37.2, 0.075
square, 76, 10.95, 0.15
noise, 20, 66.45, 0.0375
noise, 20, 8.4, 0.0375
tri, 50, 0.75, 0.15
square, 68, 60.9, 0.15
square, 79, 1.2, 0.15
noise, 20, 76.8, 0.0375
square, 69, 71.25, 0.15
tri, 52, 9.6, 0.098437
square, 72, 63.75, 0.15
square, 71, 5.1984, 0.10078
tri, 59, 45, 0.15
tri, 60, 52.2, 0.15
tri, 37, 81, 0.6
noise, 20, 0.9, 0.0375
square, 68, 36, 0.15
tri, 60, 4.9992, 0.098437
square, 74, 34.5, 0.15
noise, 20, 3.9, 0.024609
noise, 20, 36.45, 0.075
noise, 20, 55.8, 0.075
noise, 20, 42.6, 0.075
square, 72, 56.85, 0.15
noise, 20, 56.1, 0.0375
square, 64, 56.1, 0.15
square, 72, 70.35, 0.15
tri, 55, 17.25, 0.15
tri, 55, 58.2, 0.19922
square, 72, 25.05, 0.15
square, 64, 81.9, 0.9
square, 76, 50.4, 0.15
square, 75, 29.1, 0.15
noise, 20, 3.6, 0.0375
square, 69, 50.55, 0.15
square, 64, 51.3, 0.15
noise, 20, 71.85, 0.075
square, 64, 46.5, 0.15
square, 75, 26.85, 0.15
square, 64, 14.1, 0.15
noise, 20, 17.899, 0.024609
square, 71, 78, 0.15
noise, 20, 24.6, 0.075
square, 76, 55.2, 0.15
square, 65, 29.55, 0.15
square, 70, 42.75, 0.15
tri, 43, 71.7, 0.15
tri, 77, 16.05, 0.13125
noise, 20, 77.1, 0.0375
noise, 20, 64.2, 0.075
tri, 51, 34.05, 0.15
noise, 20, 75.6, 0.075
square, 64, 49.65, 0.15
square, 65, 19.05, 0.15
square, 77, 66.15, 0.15
noise, 20, 31.65, 0.075
square, 64, 58.95, 0.15
noise, 20, 77.25, 0.0375
square, 60, 48, 0.098437
noise, 20, 56.4, 0.0375
square, 77, 27, 0.15
square, 78, 12.45, 0.15
noise, 20, 58.5, 0.0375
square, 77, 58.2, 0.19922
tri, 51, 70.05, 0.15
noise, 20, 13.8, 0.075
square, 76, 38.55, 0.15
square, 72, 60.15, 0.15
square, 65, 6.6, 0.15
noise, 20, 30.3, 0.024609
square, 79, 78, 0.15
square, 76, 77.7, 0.15
noise, 20, 38.25, 0.075
square, 67, 43.2, 0.098437
square, 76, 17.1, 0.15
square, 69, 13.5, 0.15
square, 65, 27.9, 0.15
square, 71, 49.05, 0.15
square, 76, 14.7, 0.15
noise, 20, 74.4, 0.075
square, 69, 8.55, 0.15
square, 76, 24.3, 0.15
noise, 20, 60, 0.0375
square, 69, 61.2, 0.15
square, 72, 79.2, 0.15
tri, 59, 63.3, 0.15
square, 72, 44.85, 0.15
noise, 20, 10.8, 0.0375
tri, 55, 73.2, 0.15
square, 76, 9.7992, 0.098437
noise, 20, 29.7, 0.024609
noise, 20, 68.1, 0.0375
square, 67, 41.25, 0.15
tri, 65, 10.2, 0.15
noise, 20, 48.9, 0.024609
noise, 20, 63.6, 0.0375
square, 72, 27.45, 0.15
square, 72, 58.8, 0.15
noise, 20, 34.5, 0.075
tri, 60, 20.4, 0.15
tri, 53, 62.85, 0.15
noise, 20, 24.3, 0.024609
tri, 60, 13.95, 0.15
square, 67, 46.05, 0.15
tri, 49, 81, 0.6
square, 76, 38.4, 0.15
noise, 20, 25.5, 0.024609
tri, 53, 42.9, 0.15
noise, 20, 74.85, 0.075
noise, 20, 49.5, 0.024609
noise, 20, 49.699, 0.024609
square, 74, 58.2, 0.19922
square, 72, 39.15, 0.15
square, 64, 32.55, 0.15
noise, 20, 59.25, 0.0375
square, 67, 55.65, 0.15
square, 75, 17.55, 0.15
noise, 20, 44.899, 0.024609
tri, 60, 57, 0.15
noise, 20, 48.3, 0.024609
square, 77, 44.1, 0.15
tri, 44, 31.2, 0.15
noise, 20, 65.25, 0.0375
noise, 20, 15.3, 0.024609
square, 70, 34.5, 0.15
tri, 50, 52.8, 0.15
tri, 55, 7.2, 0.15
square, 62, 42.45, 0.15
noise, 20, 46.2, 0.075
tri, 55, 60.6, 0.15
square, 76, 76.95, 0.15
noise, 20, 0.45, 0.0375
square, 69, 37.65, 0.15
square, 69, 49.35, 0.15
tri, 50, 38.85, 0.15
noise, 20, 14.299, 0.024609
noise, 20, 78.9, 0.0375
noise, 20, 21.9, 0.024609
square, 68, 81, 0.19922
square, 72, 37.35, 0.15
square, 64, 68.85, 0.15
square, 69, 56.4, 0.15
square, 68, 36.15, 0.15
tri, 55, 63.6, 0.15
noise, 20, 66.9, 0.0375
noise, 20, 22.8, 0.0375
tri, 48, 71.25, 0.15
tri, 48, 24, 0.15
noise, 20, 12.3, 0.024609
tri, 59, 11.4, 0.15
square, 77, 57.75, 0.15
square, 67, 34.65, 0.15
square, 72, 34.05, 0.15
tri, 55, 54.3, 0.15
square, 64, 27.75, 0.15
square, 69, 51.6, 0.15
noise, 20, 19.099, 0.024609
square, 61, 47.55, 0.15
tri, 48, 76.05, 0.15
noise, 20, 51.3, 0.0375
noise, 20, 79.2, 0.0375
square, 81, 53.4, 0.098437
square, 72, 30, 0.15
tri, 50, 0.9, 0.15
tri, 55, 37.2, 0.15
noise, 20, 62.1, 0.0375
tri, 56, 72.9, 0.15
noise, 20, 13.699, 0.024609
square, 71, 12.75, 0.15
square, 65, 66, 0.15
square, 67, 65.25, 0.15
noise, 20, 76.35, 0.075
tri, 55, 55.8, 0.15
square, 81, 62.599, 0.098437
noise, 20, 33.6, 0.075
square, 72, 36.15, 0.15
noise, 20, 26.4, 0.0375
tri, 55, 79.2, 0.15
noise, 20, 66, 0.0375
noise, 20, 60.6, 0.075
square, 72, 36.75, 0.15
square, 78, 17.25, 0.15
square, 72, 36, 0.15
square, 68, 69.6, 0.15
square, 75, 12.75, 0.15
noise, 20, 37.65, 0.0375
square, 68, 19.5, 0.15
square, 65, 54.45, 0.15
noise, 20, 35.85, 0.075
tri, 50, 0.45, 0.15
square, 65, 23.85, 0.15
noise, 20, 48.499, 0.024609
tri, 51, 72.45, 0.15
tri, 54, 4.35, 0.15
tri, 60, 18.6, 0.15
square, 61, 9.15, 0.15
tri, 55, 32.4, 0.15
tri, 64, 43.598, 0.10078
noise, 20, 29.1, 0.024609
tri, 60, 66.75, 0.15
noise, 20, 2.4, 0.0375
square, 81, 52.999, 0.098437
noise, 20, 41.4, 0.075
square, 65, 52.2, 0.15
square, 69, 5.7, 0.15
square, 75, 12.45, 0.15
square, 64, 50.85, 0.15
square, 67, 28.05, 0.15
square, 79, 12.3, 0.15
square, 81, 63, 0.098437
tri, 43, 35.7, 0.15
noise, 20, 8.7, 0.024609
noise, 20, 61.65, 0.0375
noise, 20, 43.8, 0.075
tri, 57, 6.45, 0.15
noise, 20, 47.899, 0.024609
noise, 20, 72, 0.075
tri, 60, 43.399, 0.098437
noise, 20, 16.2, 0.075
square, 74, 58.598, 0.20156
noise, 20, 9.9, 0.024609
square, 69, 3.75, 0.15
square, 71, 57.6, 0.15
square, 55, 41.7, 0.15
square, 60, 3.75, 0.15
noise, 20, 57.6, 0.0375
tri, 62, 10.5, 0.15
square, 76, 34.65, 0.15
square, 72, 40.8, 0.15
square, 64, 30, 0.15
square, 71, 24.75, 0.15
square, 74, 11.4, 0.15
square, 60, 80.4, 0.6
square, 72, 56.55, 0.15
noise, 20, 70.5, 0.075
tri, 57, 67.999, 0.19922
noise, 20, 68.4, 0.0375
square, 67, 33, 0.15
tri, 44, 36, 0.15
square, 64, 44.85, 0.15
square, 72, 23.7, 0.15
noise, 20, 54.6, 0.075
square, 72, 34.35, 0.15
square, 76, 38.85, 0.15
square, 69, 60.15, 0.15
noise, 20, 72.45, 0.075
square, 79, 14.7, 0.15
square, 71, 17.55, 0.15
square, 67, 18.45, 0.15
square, 64, 65.7, 0.15
noise, 20, 2.25, 0.0375
square, 76, 12.3, 0.15
noise, 20, 57, 0.075
square, 67, 71.4, 0.15
tri, 55, 67.2, 0.15
square, 79, 44.25, 0.15
noise, 20, 43.699, 0.024609
noise, 20, 72.9, 0.075
square, 66, 76.8, 0.15
tri, 44, 33.6, 0.15
noise, 20, 7.8, 0.075
tri, 56, 19.5, 0.15
square, 67, 64.2, 0.15
tri, 53, 56.7, 0.15
noise, 20, 78.75, 0.0375
square, 72, 61.65, 0.15
tri, 54, 60.45, 0.15
square, 75, 19.5, 0.15
square, 77, 63.398, 0.10078
tri, 48, 8.1, 0.15
square, 72, 18.45, 0.15
square, 79, 49.05, 0.15
square, 75, 27.15, 0.15
noise, 20, 59.7, 0.0375
square, 77, 15, 0.15
square, 66, 39.15, 0.15
square, 76, 4.9992, 0.098437
square, 72, 50.55, 0.15
square, 76, 53.599, 0.098437
square, 68, 81.398, 0.20156
tri, 55, 40.2, 0.15
square, 76, 58.399, 0.19922
tri, 52, 4.8, 0.098437
tri, 55, 78.6, 0.15
tri, 56, 70.5, 0.15
tri, 60, 49.35, 0.15
noise, 20, 61.2, 0.0375
square, 76, 63.6, 0.15
square, 72, 67.999, 0.19922
square, 76, 0.45, 0.15
square, 69, 10.5, 0.15
noise, 20, 48, 0.0375
noise, 20, 27.6, 0.0375
tri, 50, 38.4, 0.15
square, 68, 13.35, 0.15
noise, 20, 0.75, 0.0375
square, 69, 76.05, 0.15
noise, 20, 30, 0.0375
tri, 55, 26.1, 0.15
square, 79, 17.1, 0.15
noise, 20, 46.8, 0.0375
tri, 55, 16.5, 0.15
tri, 55, 2.4, 0.15
noise, 20, 52.8, 0.0375
noise, 20, 19.699, 0.024609
noise, 20, 10.699, 0.024609
noise, 20, 67.2, 0.0375
noise, 20, 14.899, 0.024609
square, 60, 18.75, 0.15
square, 77, 10.5, 0.15
noise, 20, 28.699, 0.024609
square, 75, 15.15, 0.15
square, 77, 48.9, 0.15
square, 67, 23.25, 0.15
noise, 20, 40.05, 0.0375
square, 72, 33.6, 0.15
noise, 20, 8.8992, 0.024609
noise, 20, 8.2992, 0.024609
tri, 54, 55.65, 0.15
square, 60, 9.3, 0.15
noise, 20, 46.5, 0.024609
noise, 20, 31.099, 0.024609
noise, 20, 18.9, 0.024609
square, 68, 31.2, 0.15
square, 76, 48.199, 0.098437
noise, 20, 45, 0.075
square, 76, 54, 0.15
square, 60, 4.5, 0.15
square, 76, 25.05, 0.15
noise, 20, 17.7, 0.024609
square, 55, 46.5, 0.15
tri, 60, 58.8, 0.15
square, 65, 56.4, 0.15
square, 67, 4.9992, 0.098437
square, 72, 31.95, 0.15
square, 69, 13.95, 0.15
square, 67, 37.8, 0.15
tri, 53, 53.25, 0.15
square, 77, 56.55, 0.15
square, 67, 81.6, 1.2
tri, 64, 10.65, 0.15
square, 60, 13.95, 0.15
square, 69, 42.15, 0.15
square, 72, 63.6, 0.15
tri, 53, 46.95, 0.15
square, 69, 63.75, 0.15
square, 67, 13.65, 0.15
square, 67, 78.6, 0.15
tri, 48, 21.3, 0.15
square, 64, 68.85, 0.15
square, 62, 47.25, 0.15
noise, 20, 20.4, 0.0375
noise, 20, 28.2, 0.075
square, 66, 77.55, 0.15
square, 69, 80.798, 0.20156
square, 72, 31.2, 0.15
square, 72, 32.55, 0.15
noise, 20, 45.6, 0.0375
square, 67, 32.4, 0.15
noise, 20, 17.1, 0.024609
tri, 48, 80.1, 0.15
noise, 20, 17.4, 0.075
square, 60, 69, 0.15
noise, 20, 29.899, 0.024609
square, 69, 9.3, 0.15
tri, 59, 6.6, 0.15
square, 74, 23.85, 0.15
tri, 55, 64.5, 0.15
tri, 54, 65.25, 0.15
noise, 20, 11.7, 0.024609
square, 79, 25.65, 0.13125
square, 81, 62.798, 0.10078
noise, 20, 26.1, 0.024609
square, 72, 58.399, 0.19922
tri, 48, 3.3, 0.15
square, 77, 53.198, 0.10078
square, 68, 72.75, 0.15
square, 64, 18.9, 0.15
square, 66, 38.55, 0.15
square, 76, 67.999, 0.19922
square, 67, 50.85, 0.15
square, 60, 59.4, 0.15
square, 77, 53.798, 0.10078
tri, 48, 16.8, 0.15
square, 64, 2.4, 0.15
square, 60, 42.9, 0.15
tri, 55, 65.4, 0.15
tri, 53, 52.5, 0.15
square, 81, 48.6, 0.15
tri, 43, 38.1, 0.15
tri, 52, 14.85, 0.15
noise, 20, 25.8, 0.075
square, 72, 17.85, 0.15
noise, 20, 52.5, 0.0375
square, 72, 13.05, 0.15
tri, 56, 75.3, 0.15
square, 72, 11.25, 0.15
tri, 55, 53.4, 0.15
square, 70, 47.55, 0.15
noise, 20, 4.5, 0.024609
square, 67, 43.399, 0.098437
square, 67, 48, 0.098437
tri, 55, 8.85, 0.15
square, 68, 31.65, 0.15
noise, 20, 15.6, 0.0375
square, 72, 72.15, 0.15
tri, 56, 29.1, 0.15
tri, 55, 20.85, 0.15
square, 60, 59.4, 0.15
tri, 44, 72, 0.15
noise, 20, 59.4, 0.075
square, 67, 52.8, 0.098437
noise, 20, 54.45, 0.0375
square, 68, 27.75, 0.15
noise, 20, 15, 0.075
square, 64, 64.2, 0.15
noise, 20, 47.1, 0.024609
square, 74, 36.9, 0.15
noise, 20, 76.5, 0.075
tri, 53, 14.1, 0.15
noise, 20, 7.2, 0.0375
square, 79, 10.65, 0.15
square, 69, 23.1, 0.15
square, 74, 24.6, 0.15
tri, 48, 60, 0.15
noise, 20, 51.6, 0.0375
square, 78, 14.85, 0.15
square, 60, 69, 0.15
square, 72, 74.85, 0.15
square, 60, 32.85, 0.15
square, 76, 75.6, 0.15
noise, 20, 44.4, 0.0375
square, 79, 16.05, 0.13125
tri, 55, 75.6, 0.15
tri, 58, 29.55, 0.15
noise, 20, 26.899, 0.024609
square, 72, 0.75, 0.15
square, 81, 43.8, 0.15
square, 65, 28.65, 0.15
noise, 20, 6.9, 0.024609
square, 62, 49.95, 0.15
noise, 20, 16.699, 0.024609
square, 81, 10.2, 0.15
square, 79, 5.85, 0.15
noise, 20, 6.4992, 0.024609
square, 64, 8.1, 0.15
square, 62, 45.15, 0.15
